id,parent_id/id,code,type,name,reconcile,user_type/id
md_acc_51130,md_acc_51100,51130,Regular,Credite bancare în monedă naţională restante,TRUE,account.data_account_type_liability
md_acc_51140,md_acc_51100,51140,Regular,Credite bancare în valută străină restante,TRUE,account.data_account_type_liability
md_acc_51150,md_acc_51100,51150,Regular,Alte credite bancare pe termen scurt,TRUE,account.data_account_type_liability
md_acc_51160,md_acc_51100,51160,Regular,Dobînzi aferente creditelor bancare ,TRUE,account.data_account_type_liability
md_acc_51200,md_acc_51000,51200,View,Împrumuturi pe termen scurt,TRUE,account.data_account_type_view
md_acc_51210,md_acc_51200,51210,Regular,Împrumuturi de la părţi neafiliate,TRUE,account.data_account_type_liability
md_acc_51220,md_acc_51200,51220,Regular,Împrumuturi de la părţi afiliate,TRUE,account.data_account_type_liability
md_acc_51230,md_acc_51200,51230,Regular,Împrumuturi din emisiunea de obligaţiuni,TRUE,account.data_account_type_liability
md_acc_51240,md_acc_51200,51240,Regular,Împrumuturi de la personalul entităţii,TRUE,account.data_account_type_liability
md_acc_51250,md_acc_51200,51250,Regular,Alte împrumuturi pe termen scurt ,TRUE,account.data_account_type_liability
md_acc_51260,md_acc_51200,51260,Regular,Dobînzi aferente împrumuturilor,TRUE,account.data_account_type_liability
md_acc_52000,md_acc_50000,52000,View,DATORII COMERCIALE CURENTE,TRUE,account.data_account_type_view
md_acc_52100,md_acc_52000,52100,View,Datorii comerciale curente ,TRUE,account.data_account_type_view
md_acc_52110,md_acc_52100,52110,Regular,Datorii comerciale în ţară,TRUE,account.data_account_type_liability
md_acc_52120,md_acc_52100,52120,Regular,Datorii comerciale în străinătate,TRUE,account.data_account_type_liability
md_acc_52130,md_acc_52100,52130,Regular,Alte datorii comerciale ,TRUE,account.data_account_type_liability
md_acc_52200,md_acc_52000,52200,View,Datorii curente faţă de părţile afiliate,TRUE,account.data_account_type_view
md_acc_52210,md_acc_52200,52210,Regular,Datorii faţă de părţile afiliate din ţară,TRUE,account.data_account_type_liability
md_acc_52220,md_acc_52200,52220,Regular,Datorii faţă de părţile afiliate din străinătate,TRUE,account.data_account_type_liability
md_acc_52230,md_acc_52200,52230,Regular,Alte datorii faţă de părţile afiliate,TRUE,account.data_account_type_liability
md_acc_52300,md_acc_52000,52300,View,Avansuri primite curente,TRUE,account.data_account_type_view
